candidate,symbol,split,scenario,name,sweep_window,volume_multiplier,trend_filter,cisd_atr_multiplier,target_r,max_bars_in_trade,stop_atr_multiplier,initial_capital,final_equity,net_return,buy_hold_return,excess_vs_buy_hold,cagr,max_drawdown,sharpe_hourly_annualized,trades,win_rate,profit_factor,expectancy_usdt,average_holding_bars,start,end
ema_s12,BTCUSDT,development,stress,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,7871.7995124913305,-0.2128200487508669,0.35170003187554744,-0.5645200806264143,-0.09139226664644495,-0.2128200487508669,-1.5239262496934418,74,0.2972972972972973,0.5471654627604595,-28.759466047414453,20.41891891891892,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s12,BTCUSDT,validation,base,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,10045.686841707193,0.004568684170719317,0.31139966866821855,-0.30683098449749924,0.006095747610284974,-0.05686589570445133,0.12730480216172926,22,0.36363636363636365,1.0372634154791165,2.076674623054218,17.181818181818183,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s12,BTCUSDT,validation,stress,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,9635.974489792938,-0.03640255102070622,0.3087794807150037,-0.34518203173570994,-0.04823626036555828,-0.0890643159013974,-0.7180535171582563,21,0.3333333333333333,0.7214327393866558,-17.334548105098207,20.904761904761905,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s12,BTCUSDT,oos,base,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,9746.686078536672,-0.025331392146332843,-0.24031447472024936,0.21498308257391652,-0.019060960875495025,-0.06989108688202095,-0.2796221510007092,43,0.3953488372093023,0.8895252644452246,-5.891021429379729,21.558139534883722,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s12,BTCUSDT,oos,stress,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,9024.569185832503,-0.09754308141674972,-0.24183233301252038,0.14428925159577066,-0.07409378633906238,-0.11810640739915168,-1.1513893654377134,43,0.3488372093023256,0.6194876995553702,-22.684437538779008,22.767441860465116,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s12,ETHUSDT,development,base,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,7786.642997953138,-0.22133570020468618,-0.06737175393611994,-0.15396394626856624,-0.0953418349823677,-0.22861816903437227,-2.0196629920623725,53,0.20754716981132076,0.3002474588666448,-41.761452868808725,25.22641509433962,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s12,ETHUSDT,development,stress,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,7574.4208429415885,-0.24255791570584118,-0.0692351532899157,-0.17332276241592548,-0.10529877224262763,-0.24885478159770325,-2.2721061782116303,52,0.19230769230769232,0.25323349691051544,-46.645753020354064,26.346153846153847,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s12,ETHUSDT,validation,base,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,9347.68339508021,-0.06523166049197904,-0.4714224090972826,0.4061907486053036,-0.08600960938362201,-0.0845033854682361,-1.6580544499965582,16,0.25,0.3981348528571051,-40.769787807486864,19.8125,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s12,ETHUSDT,validation,stress,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,9257.77997855869,-0.074222002144131,-0.47247851172496513,0.39825650958083414,-0.0977105707170729,-0.09342899747257871,-1.8142203647177528,16,0.25,0.3643276007384701,-46.38875134008185,20.9375,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s12,ETHUSDT,oos,base,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,8615.92026631582,-0.13840797336841804,0.019184282076316617,-0.15759225544473465,-0.10572291709462045,-0.1541098129566144,-1.7831163621236101,34,0.23529411764705882,0.3770174805597465,-40.70822746129943,22.264705882352942,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s12,ETHUSDT,oos,stress,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,8399.108393179977,-0.1600891606820023,0.017147943009131916,-0.1772371036911342,-0.1226557638669511,-0.17449363903450066,-2.0993066715877893,34,0.23529411764705882,0.32725253514957015,-47.08504725941245,22.38235294117647,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s12,SOLUSDT,development,base,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,10119.697645243725,0.011969764524372373,-0.14005019758997006,0.15201996211434243,0.00477693954778613,-0.0824870016035083,0.10899204285052864,62,0.4032258064516129,1.0334723594049575,1.9306071813503993,22.20967741935484,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
